Marque,Modèle,Année,Kilométrage,Energie,Puissance fiscale,Puissance (ch.din),Cylindrée,Boite vitesse,Catégorie,Prix
hyundai,azerahybride1.6ltgdibva62wdcalligraphy,2024,0,essence | hybride,9,230,1598,Automatique,Neuf,249950
mercedesbenz,cla,2018,20000,essence,7,0,1598,Automatique,Occasion,115000
mercedesbenz,classea200amgsept23,2024,0,essence,9,163,1332,Automatique,Neuf,184000
bmw,série3gt,2014,176000,diesel,7,136,2000,Manuelle,Occasion,89000
audi,a5sportback,2018,198000,essence,8,150,1395,Automatique,Occasion,90000
mercedesbenz,classee,2024,0,hybride essence,10,204,1999,Automatique,Occasion,450000
landrover,rangeroversport,2008,184000,diesel,13,0,2697,Automatique,Occasion,79000
audi,a5sportback,2018,130000,essence,8,150,1395,Automatique,Occasion,103000
hyundai,grandi10sedan,2019,90000,essence,5,87,1200,Manuelle,Occasion,34900
kia,sportage,2018,139000,diesel,7,178,1685,Automatique,Occasion,91000
landrover,rangeroversport,2020,37000,hybride essence,19,300,2000,Automatique,Occasion,350000
haval,h6,2019,62000,essence,9,143,1499,Automatique,Occasion,86000
hyundai,grandi10sedan,2019,15000,essence,5,0,1198,Manuelle,Occasion,45000
toyota,yarissedan,2020,134000,essence,6,100,1198,Manuelle,Occasion,46500
mercedesbenz,cla,2021,60000,diesel,6,116,1461,Automatique,Occasion,145000
mercedesbenz,gla,2019,45000,essence,7,0,1600,Automatique,Occasion,128000
kia,picanto1.2lbvagtlineplus,2024,0,essence,4,84,1197,Automatique,Neuf,65480
mercedesbenz,classec,2019,145000,diesel,6,116,1600,Automatique,Occasion,145000
fiat,500,2019,19000,essence,4,0,1300,Automatique,Occasion,55000
ssangyong,tivoli,2017,40000,essence,7,0,1600,Manuelle,Occasion,60000
ford,ranger,2019,229000,diesel,7,0,2200,Automatique,Occasion,134000
peugeot,3008,2020,75000,essence,6,0,1400,Automatique,Occasion,75000
dacia,sanderostepway1.0l,2024,0,essence,6,100,999,Manuelle,Neuf,62990
jaguar,fpace,2021,27000,essence,16,0,1999,Automatique,Occasion,269000
volkswagen,polo,2017,185000,essence,4,0,999,Manuelle,Occasion,35500
peugeot,308,2021,36765,essence,5,110,1200,Manuelle,Occasion,53000
kia,ev6gtline239kwlongrange77.4kwh4wd,2024,0,electrique,21,325,0,Automatique,Neuf,239980
gacmotor,ga41.5lbva,2024,0,essence,6,107,1495,Automatique,Neuf,69900
mercedesbenz,glecoupé,2021,71000,hybride diesel,8,0,2000,Automatique,Occasion,378000
mercedesbenz,classee,2012,170000,diesel,10,0,1000,Automatique,Occasion,79000
opel,corsa1.2turbogsline,2024,0,essence,6,100,1199,Manuelle,Neuf,76900
haval,jolion,2021,59000,essence,9,143,1449,Automatique,Occasion,86000
hyundai,tucson1.6ltgdi7dct4wdtopgrade,2024,0,essence,10,180,1598,Automatique,Neuf,180000
volkswagen,golf7,2018,86000,essence,6,110,1000,Manuelle,Occasion,79000
renault,megane,2021,160000,diesel,6,0,1500,Manuelle,Occasion,71000
mercedesbenz,gla,2022,32000,diesel,8,150,1950,Automatique,Occasion,185000
kia,sportage,2018,141000,essence,7,0,1500,Automatique,Occasion,79500
nissan,qashqai,2022,26000,essence,8,0,1300,Automatique,Occasion,95000
chery,tiggo2,2019,100000,essence,6,106,1497,Manuelle,Occasion,42500
chevrolet,sonic,2021,89000,essence,5,0,1198,Manuelle,Occasion,41000
mercedesbenz,glccoupé,2020,69000,hybride rechargeable essence,12,211,2000,Automatique,Occasion,278000
mercedesbenz,classec,2022,50000,essence,9,170,1399,Automatique,Occasion,264200
toyota,chr,2018,133000,essence,6,0,1200,Automatique,Occasion,72000
hyundai,konahybride1.6ltgdibva,2024,0,essence | hybride,5,141,1580,Automatique,Neuf,130000
audi,a5sportback,2021,70000,essence,8,0,0,Automatique,Occasion,185000
volkswagen,golf6,2009,235000,diesel,5,105,1600,Manuelle,Occasion,42000
kia,ev6gtline168kwlongrange77.4kwh2wd,2024,0,electrique,13,229,0,Automatique,Neuf,219980
citroën,c5,2010,250000,diesel,6,0,1600,Automatique,Occasion,33000
haval,h6,2022,16000,essence,8,150,1599,Automatique,Occasion,117000
mercedesbenz,classee,2009,189000,diesel,11,0,2198,Automatique,Occasion,63900
bmw,série5,2021,173000,essence,10,0,1600,Automatique,Occasion,138000
seat,leon,2015,147000,essence,5,110,1200,Manuelle,Occasion,40000
kia,sorento,2016,120000,diesel,12,200,2200,Automatique,Occasion,95000
toyota,agya,2022,37000,essence,5,87,1200,Automatique,Occasion,45000
volkswagen,passat,2017,140000,essence,7,150,1399,Manuelle,Occasion,63000
mg,zs,2020,116000,essence,7,114,1498,Manuelle,Occasion,62000
mercedesbenz,glc,2020,54000,diesel,10,0,1993,Automatique,Occasion,260000
volkswagen,golf7,2019,65000,essence,5,0,1000,Manuelle,Occasion,73000
mg,31.5l2024,2024,0,essence,6,110,1498,Manuelle,Neuf,56950
mercedesbenz,classee,2010,330000,essence,10,0,1999,Automatique,Occasion,51000
bmw,x4,2021,47000,essence,15,0,3000,Automatique,Occasion,258000
bmw,série3,2007,241000,essence,7,116,1598,Manuelle,Occasion,41000
toyota,yariscross1.5lcvt,2024,0,essence | hybride,5,116,1490,Automatique,Neuf,119900
kia,sportage,2019,175000,essence,8,143,1000,Automatique,Occasion,85000
hyundai,creta1.5lbva,2024,0,essence,6,113,1491,Automatique,Neuf,118950
kia,sportage,2019,124000,diesel,8,0,1600,Automatique,Occasion,97000
volkswagen,passat,2020,60000,essence,8,150,1599,Automatique,Occasion,106000
volkswagen,tiguan,2020,33000,essence,8,0,1599,Automatique,Occasion,128000
toyota,landcruiser,1999,360000,diesel,17,0,4200,Manuelle,Occasion,80000
audi,q3sportback,2021,85000,hybride rechargeable essence,8,150,1395,Automatique,Occasion,168000
hyundai,creta,2020,90500,essence,6,123,1497,Automatique,Occasion,74000
volkswagen,golf7,2018,130000,essence,6,0,1000,Manuelle,Occasion,80000
mg,gs,2017,160000,essence,9,170,0,Automatique,Occasion,58000
peugeot,boxer335l1h1fourgon,2024,0,diesel,7,140,2179,Manuelle,Neuf,89900
audi,q2,2017,173000,essence,6,116,999,Automatique,Occasion,67000
jaguar,xf,2016,110000,essence,15,200,2000,Automatique,Occasion,95000
mercedesbenz,classea,2020,90000,essence,9,0,2000,Automatique,Occasion,129000
hyundai,grandi10,2020,116000,essence,5,0,1200,Automatique,Occasion,40000
dfsk,c321.5ldoublecabinedlx,2024,0,essence,7,101,1493,Manuelle,Neuf,58900
porsche,cayennecoupé,2019,59000,essence,25,0,3000,Automatique,Occasion,370000
volkswagen,caddy,2016,85000,diesel,5,0,1598,Manuelle,Occasion,41500
porsche,cayennecoupé,2020,70000,hybride rechargeable essence,22,340,3000,Automatique,Occasion,480000
seat,leon,2014,96000,essence,6,105,1200,Automatique,Occasion,52000
mercedesbenz,classec,2019,80000,hybride essence,11,0,1497,Automatique,Occasion,154000
landrover,rangeroversport,2014,180000,essence,24,0,2500,Automatique,Occasion,178000
audi,a5cabriolet,2009,120000,essence,10,0,1599,Automatique,Occasion,59000
geely,gx3,2021,62000,essence,6,107,1498,Manuelle,Occasion,45000
mercedesbenz,classeb,2014,100000,essence,7,0,1600,Manuelle,Occasion,48000
toyota,chr,2020,165000,essence,6,116,1197,Automatique,Occasion,75000
bmw,série5,2011,270000,diesel,10,163,2000,Automatique,Occasion,59000
